SMILES,molecule_chembl_id,IC50
COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(C[C@H](C)O)n(-c5ccccc5)c4=O)cc3F)ccnc2c1,CHEMBL460468,23.0
COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(C[C@@H](C)O)n(-c5ccccc5)c4=O)cc3F)ccnc2c1,CHEMBL518174,24.0
COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)C)n(-c5ccccc5)c4=O)cc3F)ccnc2c1,CHEMBL459647,204.0
CCCn1c(C)c(C(=O)Nc2ccc(Oc3ccnc4cc(OC)ccc34)c(F)c2)c(=O)n1-c1ccccc1,CHEMBL460466,49.0
COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,CHEMBL460472,60.0
CN1CCN(c2ccc(-c3cnc4ccn(S(=O)(=O)c5cccc6nonc56)c4c3)cn2)CC1,CHEMBL551458,820.0
O=S(=O)(c1cccc2nonc12)n1ccc2ncc(-c3cnn(C4CCNCC4)c3)cc21,CHEMBL554497,200.0
Nc1cnc2ccn(S(=O)(=O)c3cccc4nonc34)c2c1,CHEMBL562063,1300.0
O=C(c1cccnc1)N1CCN(c2cnc3ccn(S(=O)(=O)c4cccc5nonc45)c3c2)CC1,CHEMBL564904,480.0
CC(=O)N1CCN(c2cnc3ccn(S(=O)(=O)c4cccc5nonc45)c3c2)CC1,CHEMBL549980,370.0
CNCC(=O)N1CCN(c2cnc3ccn(S(=O)(=O)c4cccc5nonc45)c3c2)CC1,CHEMBL564760,570.0
O=S(=O)(c1c(Cl)nc2sccn12)n1ccc2ncc(N3CCNCC3)cc21,CHEMBL560575,1700.0
O=S(=O)(c1c(Cl)nc2sccn12)n1ccc2ncc(-c3cnn(C4CCNCC4)c3)cc21,CHEMBL564371,110.0
Nc1cnc2ccn(S(=O)(=O)c3c(Cl)nc4sccn34)c2c1,CHEMBL558306,490.0
O=S(=O)(c1c(Cl)nc2sccn12)n1ccc2ncc(O)cc21,CHEMBL561058,3600.0
CC(C)(C)OC(=O)N1CCN(c2cnc3ccn(S(=O)(=O)c4c(Cl)nc5sccn45)c3c2)CC1,CHEMBL550158,1946.0
CC(C)(C)OC(=O)N1CCC(n2cc(-c3cnc4ccn(S(=O)(=O)c5c(Cl)nc6sccn56)c4c3)cn2)CC1,CHEMBL564440,147.0
c1cc(Cn2ccc3ncc(-c4cnn(C5CCNCC5)c4)cc32)c2nonc2c1,CHEMBL550160,1800.0
CC(C)(C)OC(=O)N1CCC(n2cc(-c3cnc4ccn(Cc5cccc6nonc56)c4c3)cn2)CC1,CHEMBL564827,3080.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)c2cc1OC,CHEMBL573761,30.0
COc1cc2ncnc(Oc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)c2cc1OC,CHEMBL574870,40.0
COc1cc2ncnc(Nc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)c2cc1OC,CHEMBL573765,600.0
COc1cc2ncnc(N(C)c3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)c2cc1OC,CHEMBL574863,4000.0
COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)c2cc1OC,CHEMBL489326,21.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccc(F)cc5)C4=O)cc3F)c2cc1OC,CHEMBL574864,30.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)c(F)c3)c2cc1OC,CHEMBL576769,30.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)nc3)c2cc1OC,CHEMBL575713,30.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccccn5)C4=O)cc3F)c2cc1OC,CHEMBL573768,40.0
COc1cc2nccc(Sc3ccc(NC(=O)N4CCN(c5ccc(F)cc5)C4=O)cc3)c2cc1OC,CHEMBL575076,40.0
COc1cc2c(Oc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)ccnc2cc1OCC1CCNCC1,CHEMBL582927,40.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccc(F)cc5)C4=O)cc3F)c2cc1OCCCN1CCOCC1,CHEMBL574050,40.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccccc5OC)C4=O)cc3F)c2cc1OC,CHEMBL575698,50.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5cccc(F)c5)C4=O)cc3F)c2cc1OC,CHEMBL574225,50.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3)c2cc1OC,CHEMBL573974,50.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccc(F)cc5)C4=O)cc3)c2cc1OC,CHEMBL576752,50.0
COc1cc2c(Oc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)ccnc2cc1OCC1CCN(C)CC1,CHEMBL572389,50.0
COc1cc2c(Oc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)ccnc2cc1OCCCN1CCOCC1,CHEMBL574125,50.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccccc5F)C4=O)cc3F)c2cc1OC,CHEMBL577369,60.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(N5CCCCC5)C4=O)cc3F)c2cc1OC,CHEMBL575712,60.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cn3)c2cc1OC,CHEMBL574230,60.0
COCCOc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)c2cc1OCCOC,CHEMBL574093,60.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccncc5)C4=O)cc3F)c2cc1OC,CHEMBL574406,100.0
COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(C5CCCCC5)C4=O)cc3F)c2cc1OC,CHEMBL582925,110.0
COc1cc2nccc(Nc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)c2cc1OC,CHEMBL573762,200.0
C=CCN1CCN(C(=O)Nc2ccc(Oc3ccnc4cc(OC)c(OC)cc34)c(F)c2)C1=O,CHEMBL574628,200.0
COc1cc2nccc(N(C)c3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)c2cc1OC,CHEMBL575490,400.0
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1,CHEMBL450786,38.0
O=C(CC(=O)Nc1ccc(Oc2ccnc3ccsc23)c(F)c1)Nc1ccccc1,CHEMBL566621,270.0
O=C(CC(=O)Nc1ccc(Oc2ccnc3cc(C(=O)N4CCCC4)sc23)c(F)c1)Nc1ccccc1,CHEMBL566010,40.0
CN(C)[C@@H]1CCN(C(=O)c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5)cc4F)c3s2)C1,CHEMBL565785,65.0
Cn1ccnc1C(=O)c1cc2nccc(Oc3ccc(NC(=O)CC(=O)Nc4ccccc4)cc3F)c2s1,CHEMBL566623,36.0
Cn1cnc(C(=O)c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5)cc4F)c3s2)c1,CHEMBL566003,25.0
CCn1cnc(C(=O)c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5)cc4F)c3s2)c1,CHEMBL565990,19.0
CN(C)CCn1cnc(C(=O)c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5)cc4F)c3s2)c1,CHEMBL576504,20.0
O=C(O)Cn1cnc(C(=O)c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5)cc4F)c3s2)c1,CHEMBL570869,36.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)CC(=O)NC5CCCCC5)cc4F)c3s2)c1,CHEMBL585205,52.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5F)cc4F)c3s2)c1,CHEMBL566215,32.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5cccc(F)c5)cc4F)c3s2)c1,CHEMBL565603,52.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccc(F)cc5)cc4F)c3s2)c1,CHEMBL567475,24.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5OC)cc4F)c3s2)c1,CHEMBL566844,25.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5C(F)(F)F)cc4F)c3s2)c1,CHEMBL577742,91.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5O)cc4F)c3s2)c1,CHEMBL584701,26.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccccc6)CC5)cc4F)c3s2)c1,CHEMBL565807,24.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)CC(=O)N(C)c5ccccc5)cc4F)c3s2)c1,CHEMBL565782,33.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccccc6F)CC5)cc4F)c3s2)c1,CHEMBL566836,38.0
COc1cnc2c(NCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1,CHEMBL566875,14.0
COc1cnc2c(NCc3nnc4ccc(-c5ccc(F)c(F)c5)nn34)ccnc2c1,CHEMBL566242,7.0
COc1cnc2c(NCc3nnc4ccc(-c5cc(F)c(F)c(F)c5)nn34)ccnc2c1,CHEMBL565843,7.0
COc1cnc2c(NCc3nnc4ccc(-c5cc(F)cc(F)c5)nn34)ccnc2c1,CHEMBL568138,3.0
COc1cnc2c(NCc3nnc4ccc(-c5cc(C)ns5)nn34)ccnc2c1,CHEMBL566685,3.0
Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)CC(Nc5ccccc5)C(F)(F)F)cc4F)c3s2)c1,CHEMBL600632,700.0
Cn1cnc(-c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccccc5)C(F)(F)F)cc4F)c3s2)c1,CHEMBL602703,120.0
COc1ccccc1NC(=O)CC(Nc1ccc(Oc2ccnc3cc(-c4cn(C)cn4)sc23)c(F)c1)C(F)(F)F,CHEMBL591924,840.0
Cn1cnc(-c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccc(F)cc5)C(F)(F)F)cc4F)c3s2)c1,CHEMBL602704,90.0
Cn1cnc(-c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccc(F)cc5)C(F)(F)F)cc4)c3s2)c1,CHEMBL602905,180.0
